
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
"Frame": 3707      ,"X": 13.50%,"Y":100.88%,"Timestamp": 4207.68
"Frame": 3708      ,"X": 13.43%,"Y":100.44%,"Timestamp": 4229.05
"Frame": 3708      ,"X": 13.43%,"Y":100.44%,"Timestamp": 4229.05
"Frame": 3709      ,"X": 13.48%,"Y":100.08%,"Timestamp": 4248.13
"Frame": 3710      ,"X": 13.47%,"Y":100.03%,"Timestamp": 4268.38
"Frame": 3711      ,"X": 13.47%,"Y": 99.98%,"Timestamp": 4288.62
"Frame": 3712      ,"X": 13.45%,"Y": 99.93%,"Timestamp": 4308.88
"Frame": 3713      ,"X": 13.45%,"Y": 99.94%,"Timestamp": 4329.12
"Frame": 3714      ,"X": 13.44%,"Y": 99.95%,"Timestamp": 4349.42
"Frame": 3714      ,"X": 13.44%,"Y": 99.95%,"Timestamp": 4349.42
"Frame": 3715      ,"X": 13.45%,"Y": 99.90%,"Timestamp": 4369.63
"Frame": 3716      ,"X": 13.52%,"Y": 99.85%,"Timestamp": 4389.92
"Frame": 3717      ,"X": 13.53%,"Y": 99.86%,"Timestamp": 4410.12
"Frame": 3718      ,"X": 13.82%,"Y": 99.34%,"Timestamp": 4430.37
"Frame": 3719      ,"X": 14.05%,"Y": 99.14%,"Timestamp": 4450.67
"Frame": 3720      ,"X": 14.38%,"Y": 99.01%,"Timestamp": 4470.88
"Frame": 3721      ,"X": 14.76%,"Y": 98.89%,"Timestamp": 4491.17
"Frame": 3722      ,"X": 15.14%,"Y": 99.09%,"Timestamp": 4511.42
"Frame": 3723      ,"X": 19.56%,"Y": 99.30%,"Timestamp": 4531.63
"Frame": 3724      ,"X": 23.08%,"Y": 99.65%,"Timestamp": 4551.93
"Frame": 3724      ,"X": 23.08%,"Y": 99.65%,"Timestamp": 4551.93
"Frame": 3725      ,"X": 25.90%,"Y": 99.92%,"Timestamp": 4572.08
"Frame": 3726      ,"X": 27.83%,"Y":100.04%,"Timestamp": 4592.38
"Frame": 3727      ,"X": 29.15%,"Y":100.06%,"Timestamp": 4612.66
"Frame": 3728      ,"X": 30.26%,"Y":100.14%,"Timestamp": 4632.92
"Frame": 3729      ,"X": 31.15%,"Y":100.20%,"Timestamp": 4653.13
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
"Frame": 3735      ,"X": 31.94%,"Y":100.98%,"Timestamp": 4774.69
"Frame": 3736      ,"X": 33.42%,"Y":101.29%,"Timestamp": 4794.87
"Frame": 3737      ,"X": 52.63%,"Y":101.84%,"Timestamp": 4815.13
"Frame": 3738      ,"X": 61.22%,"Y":102.22%,"Timestamp": 4835.41
"Frame": 3739      ,"X": 65.63%,"Y":103.17%,"Timestamp": 4855.61
"Frame": 3740      ,"X": 69.27%,"Y":103.16%,"Timestamp": 4875.87
